"frequency (Hz)" "brightness (ergs/s/cm^2/sr/Hz)"
34473577711.372055 7.029471536390586e-16
42896956937.69582 1.0253178228238486e-15
51322332225.44733 1.3544045476166584e-15
60344529880.18272 1.6902073280174815e-15
68767909106.5062 2.0125779972022745e-15
77780126454.10146 2.3148004995630144e-15
85600695129.15724 2.6103069463157413e-15
94010101925.48483 2.8856652262444173e-15
102407532353.24394 3.120727172524994e-15
111393800902.27454 3.3356409519815205e-15
119773266777.1811 3.5102583977899477e-15
128733586527.64734 3.63786345434227e-15
135903439177.1625 3.74532034407053e-15
145446608864.61584 3.832629066974727e-15
154378983755.08936 3.86620934501481e-15
162115717850.16772 3.879641456230864e-15
171032124249.21704 3.8594932894068e-15
179351708281.28275 3.832629066974727e-15
187661312006.2081 3.772184566502604e-15
196561749913.83286 3.698307954814427e-15
205454203575.74585 3.5975671206941774e-15
213160996749.40344 3.5102583977899477e-15
222043470104.17603 3.3759372856296142e-15
230927939520.37662 3.2483322290773073e-15
239217582631.02158 3.120727172524994e-15
246910403374.68307 2.9864060603646642e-15
255194058301.04398 2.838652836988301e-15
263483701411.689 2.7110477804359874e-15
271170533971.0663 2.5565785014516075e-15
280051011264.4109 2.4155413336832613e-15
289530306986.167 2.287936277130948e-15
297813961912.52795 2.140183053754588e-15
306097616838.8901 1.9924298303782244e-15
313796425766.8338 1.8782568850419446e-15
322684887305.89044 1.7640839397056649e-15
330377708049.5519 1.6297628275453348e-15
339862991955.59235 1.5223059378170683e-15
346970966700.83746 1.4215651036968215e-15
355863420362.752 1.3208242695765748e-15
363560233229.2683 1.1999352686322783e-15
371861852708.4812 1.1126265457280651e-15
380165468249.12445 1.0320338784318648e-15
389059917972.4634 9.380090999196352e-16
397960355880.0905 8.6413248823145515e-16
405673137238.0322 7.969719321512884e-16
415170397512.6404 7.298113760711252e-16
424072831481.6919 6.6265081999095855e-16
439506378443.2881 5.551939302626953e-16
456728396444.4085 4.611691517504654e-16
472766750018.6982 3.87292540062282e-16
489996752265.52826 3.201319839821188e-16
506039097962.6759 2.5968748350997043e-16
523273092332.3638 2.0595903864583913e-16
539918248580.7806 1.7237876060575648e-16
557158231134.7507 1.3879848256567381e-16
573803387383.1646 1.0521820452559118e-16
591049358121.42 9.178609330955852e-17
